DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2023-09-16,5765785,0,0,1296,24,31104,54,941,50814,211,37,7807,30,1126,33780,352154,0,0,9,17182,154638,3,10616,31848
2023-09-13,5319834,0,0,2539,9,22851,56,663,37128,230,25,5750,34,729,24786,300274,0,0,10,11818,118180,3,7270,21810
2023-09-09,4992256,0,0,1764,17,29988,64,764,48896,243,31,7533,28,1150,32200,262166,0,0,11,13881,152691,3,11924,35772
2023-09-06,4562389,0,0,1415,16,22640,43,855,36765,228,25,5700,30,818,24540,212157,0,0,9,13115,118035,3,7910,23730
2023-09-02,4237943,0,0,953,32,30496,35,1429,50015,97,79,7663,19,1764,33516,174413,0,0,7,20574,144018,3,13808,41424
2023-08-30,3800977,0,0,1485,15,22275,61,599,36539,175,32,5600,26,944,24544,123579,0,0,10,11537,115370,3,9414,28242
2023-08-26,3481593,0,0,1507,20,30140,56,874,48944,190,40,7600,29,1113,32277,86423,0,0,10,15608,156080,3,10591,31773
2023-08-23,3049586,0,0,1971,11,21681,55,636,34980,144,38,5472,25,944,23600,36166,0,0,9,11448,103032,3,9583,28749
2023-08-19,2738706,0,0,1364,22,30008,46,1056,48576,140,54,7560,21,1527,32067,50055,1,50055,8,17715,141720,3,13717,41151
2023-08-16,2308440,0,0,3074,7,21518,57,619,35283,123,44,5412,20,1183,23660,83701,1,83701,9,11885,106965,3,10867,32601
2023-08-12,2000000,0,0,1509,19,28671,57,813,46341,233,31,7223,29,1069,31001,47819,0,0,10,13560,135600,3,10623,31869
2023-08-09,4257050,1,4257050,390,58,22620,34,1078,36652,73,78,5694,15,1619,24285,18872,2,37744,7,15033,105231,3,12844,38532
