No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
674,82990000,316429.80,57532.60,4585.90,191,85.80,52.30,11.70,15.40,9.70,7.90,6,3
673,12375000,0,29043.30,3319.20,137.30,55,40.40,9.40,12.90,6.70,7.20,5.20,2.40
672,35072863,0,61031.60,2953.10,154,88.20,33.60,10.20,10.90,9.40,5.50,5.60,3.20
671,26289565,0,29828.20,1955.90,107,48.10,33.70,10,11.20,8.10,6,5.70,2.80
670,20630644,207772.30,49469.60,1236.70,93.20,61.40,21.10,7.40,7.40,7.90,4.30,4.40,2.80
669,12378000,0,466457.30,3239.20,192.80,99.60,50.10,11.60,15.60,11,8,5.90,3.40
668,20927566,187470.20,37494,2060.10,107.10,68.10,26.50,7.80,9.10,8,5.20,4.80,2.90
667,12445500,0,0,5086.80,151.50,71,52,10.50,16.20,8.60,8.10,5.70,2.90
666,21037161,553637.90,36909.10,3926.50,186.20,82.70,67.60,12.20,20,9,10.80,6.40,2.80
665,12433500,0,38645.50,6440.90,205.70,98.80,44.30,12.10,12.60,10.10,6.20,6,3
664,59249234,666220.40,37012.20,2960.90,119.90,68.60,43.10,8.70,14.60,7.80,8.30,5.10,2.80
663,49446896,169309.50,56436.50,4551.30,173.80,89.60,43.90,11,12.30,9.70,6.10,5.60,3
662,43002299,168155.90,78472.70,3065.30,181,89.40,46,11.30,12.80,10.20,6.80,5.60,3.20
661,33466125,0,29211.20,2190.80,150.70,88.30,33.60,10.60,10.10,9.80,5.10,5.50,3.10
660,27266155,577348.50,48112.30,5201.30,194.60,76.20,65.50,12.70,19.80,9.20,10.40,6.70,2.90
659,18577883,0,36506.60,3116.40,225.80,82.80,59.20,14,18.80,8.40,9.70,7.40,2.60
658,12453000,112865.70,19801,3188.20,127.80,53.10,50.70,9.30,16.90,6.40,9.70,5.60,2.30
657,54123899,164513.30,29031.70,3628.90,168,73.10,52.30,11.60,16.90,8.50,8.80,6.20,2.70
656,96289141,226781.70,58795.20,2519.70,148.90,81,30.60,9.70,10.10,9,5.60,5.20,2.90
655,83850382,125281.30,83520.80,2480.80,140.70,75.80,26.50,9,8.30,8.30,4.60,5,2.80
654,72089654,108519.60,14210.90,2286.80,92.20,40.40,38,7.70,13.40,5.80,7.80,4.80,2.30
653,62469261,216893.40,45186.10,3929.20,156.80,70.80,41.30,10.90,12.50,8.90,6.30,5.80,2.90
652,53875274,208839.80,29834.20,3423.60,136.20,61.60,47.90,8.90,15.10,6.80,8.50,5.10,2.40
651,44362413,160184.20,88991.20,4171.40,167.80,77.50,59.40,11.40,17.50,8.90,9.30,5.80,2.80
650,37664283,336526.40,29913.40,4487,172.10,70.50,55.30,11.50,17.70,8.20,8.60,6.10,2.60
649,26551498,0,0,3688.40,166.40,63.40,46.70,11.20,14.50,9.60,7.10,5.90,3
648,20874773,0,68541.50,4631.10,228.20,93.50,62.90,12.60,19.30,9.80,9.90,6.30,2.90
647,12445500,0,71777.50,1656.40,109.70,56.40,29.60,8.10,10.50,7.20,6,4.70,2.60
646,12429000,207924.90,57756.90,2113,99.40,58.70,26.60,7.40,8.90,7.30,5.20,4.60,2.60
645,26863588.20,359010.60,29917.50,1869.80,114.80,66.30,23.80,8.10,7.80,8.30,4.60,4.70,2.90
644,21186645,81094,29283.90,2928.30,134,75.10,47,9.30,14.70,8.50,7.90,5.10,2.80
643,12606000,0,32420,5972.10,213.50,83.50,69.70,13.10,20,8.70,10.40,6.70,2.70
642,83830000,227257.10,28407.10,2705.40,121.10,53.30,41.90,8.80,13.90,6.90,7.60,5.20,2.50
641,12682500,0,36358.20,4544.70,159,73.20,58.80,12.50,18.50,9.40,9.50,6.70,3.10
640,6255000,205782.60,114323.60,4182.50,186.30,86.60,60.60,12.40,19.30,9.60,10.30,6.70,3.10
639,18107223.80,0,44812.80,3394.90,128.40,73.20,43.70,8.70,13.30,8.50,7.40,4.60,2.70
638,12709500,151248.10,21606.80,2071.80,119,65.80,28.20,8.10,9.20,7.30,5.20,4.60,2.60
637,12856500,0,69565.50,3366,176.20,90.30,41.90,11.40,11.10,9.50,5.50,5.50,2.80
636,27080608,0,0,3616.50,194.10,83.40,57.50,11.40,17.40,8,9.10,6,2.50
635,18308847,0,0,4547.20,189.80,83.20,51.50,11.70,16.60,9.20,8.90,6.20,2.90
634,12711000,342839.60,114279.80,4761.60,206.30,94.30,48.80,13,13.40,11,6.20,6.40,3.30
633,43086063,399236.70,26615.70,1751,118.20,62.70,31,9.90,10.60,9,5.70,5.70,3.20
632,36840020,219076.30,19217.20,1587.50,103.70,56.90,26.50,7.60,8.70,7.30,4.90,4.50,2.60
631,27440665,0,195186.10,2103.20,166,87.90,29.90,9.10,9,9.20,4.80,4.90,3
630,21498731,0,35087.50,3373.80,121.90,79.10,48.60,11.10,14.70,9.10,8,5.80,2.80
629,12544500,174787.20,46609.90,3531,141.20,79.70,46.50,9.60,14.70,9.20,8,5.20,2.90
628,55193986,249875.80,41645.90,2288.20,166.80,82.50,40.30,11.40,12.10,9.60,6.10,5.90,3.10
627,45405876,100261.10,0,4050.90,152.10,69.30,54,10.90,17.20,7.70,9.20,5.90,2.60
626,38960567,288743.10,42776.70,4010.30,126.30,76.80,48.70,9.10,15.30,8.40,7.80,5.10,3
625,29412765,256130.20,0,3283.70,135.10,59.10,48.80,9.60,15.90,7.10,9,5.60,2.50
624,23253808,188016,36558.60,4218.30,129.10,57.60,44,9.10,14.90,6.80,8.20,5.30,2.40
623,12666000,40699,9225.10,2453.40,83.60,28.80,38.90,7.20,14.50,4.90,8.50,5,2.10
622,10801883,183930.70,28297,2216,143.90,78.10,30.10,9.20,10,8.70,5.50,5.10,2.80
621,12709500,139287.80,0,1967.30,121.70,71.20,30.40,8,10,7.90,5.70,4.60,2.70
620,10942818,81674.50,23594.80,2298.20,126.20,74.70,32.90,9.50,10.10,9.10,5.20,5.10,3
619,12931500,0,57123.80,3939.50,197.50,86,42.90,11.40,12,9.80,5.70,5.80,2.90
618,80738985,352991.20,52294.90,2262.70,160.90,80.30,35.60,10.30,10.70,8.90,5.30,5.40,2.90
617,68593880,230597.30,76865.80,4270.30,159.30,82.90,46.60,10.70,15.50,8.70,8.50,5.80,2.70
616,60621367,235420.40,56052.40,3216.10,148.70,76.50,49.50,10.60,14.80,8.80,7.80,5.60,2.80
615,51018937,0,0,4755.20,146.10,69.70,47.70,10.30,14.60,8.20,7.60,5.40,2.60
614,44134518,94551.60,29092.80,2148.90,76,44.40,30.60,6.40,11.40,6,6.70,4.10,2.30
613,34673271,0,41010,6475.20,186.50,95.20,58.60,12,17.50,9.50,9.10,6,2.90
612,28309281,275044.20,40747.20,4167.30,185,93.20,42.20,11.50,12.90,10.40,6.20,6.20,3.40
611,19184610,0,37790.60,2906.90,137.20,64.70,37.60,9.20,12.20,7,6.70,5,2.30
610,13081162,252202.30,31525.20,2711.80,117.50,65.40,42.60,8.80,13.20,8,7,4.90,2.70
609,12907500,0,0,2714.70,151.70,77.30,37.30,9,11.70,8.80,6.40,4.60,2.80
608,12925500,254019.10,0,1782.50,111.10,67,26.10,7.80,9.10,8,5.10,4.60,2.80
607,19201363,239904.20,79968,2789.50,179.10,74.90,40.30,10.90,12.40,8.70,6.30,5.80,2.80
606,12987000,0,281685.90,3321.70,147.20,89.80,48,10.10,15.60,9.70,8,5.30,3.10
605,28847237,0,84851.80,4105.70,175.30,79.30,60.70,12.10,18.70,8.80,9.80,6.50,2.80
604,22417687,0,19091.70,3942.80,120,41.40,55.10,9.40,17.50,5.60,9.70,5.60,2.10
603,12844500,56678.70,18892.90,1594.80,72.10,49.40,28.40,6.30,10.60,6.50,6.50,4,2.40
602,12843000,149161.90,18080.20,2968.30,152.70,80.90,42.70,10.60,12.90,9.30,6.80,5.50,3
601,79779517,246015.90,32802.10,3814.20,117.70,58.30,41.50,8.60,13.10,7,7.50,4.90,2.40
600,143627629,280394,41539.80,3338,156.30,77,49.30,10.60,14.70,8.70,7.90,5.60,2.80
599,125775679,118797.90,24513.80,2859.90,133.50,52.50,46.40,10.80,14.80,7.30,7.90,6.20,2.60
598,111780731,0,78645.10,3574.70,202.20,94,57.20,13,17.20,10.20,8.80,6.60,3
597,96181290,256023.70,22458.20,2294.10,100.40,59.40,29.80,7,10.60,7,6.40,4.50,2.50
596,85130000,391314.30,38364.10,2264.50,147.90,79.80,33.20,9.60,10.20,9.10,5.50,5.10,2.90
595,19080295,185954.90,0,4768,185.10,82.90,56.10,13.50,15.80,11,7.40,6.80,3.30
594,12841500,0,39955.40,3329.60,180,88.90,51.10,11.10,15.80,9,8,5.80,2.80
593,81381673.30,204490.70,42602.20,3704.50,131.40,60.30,50.70,9.60,17.20,7.60,9.10,5.60,2.60
592,73074352,76502.60,24158.70,2165.10,73.60,49.90,35.90,6.40,12.80,6.40,7.20,4.20,2.50
591,61122965,123225.70,57505.30,1482,95.90,54.10,24.20,7,8.30,6.70,5,4.20,2.50
590,53520165,137973.40,41392,4599.10,173.20,76.80,58.50,11.40,18.20,8.50,9.80,5.90,2.70
589,43382876,274601.30,91533.70,3520.50,140.50,68.20,48.10,9.50,15.10,7.40,8.30,5.30,2.50
588,36503084,0,248619.90,5039.50,208.30,95.30,68.90,13.90,20.80,10.70,10.50,7.30,3.20
587,27337587,241333.10,21939.30,4022.20,150.80,70.50,35,9.70,11.10,7.80,6.10,5.40,2.60
586,21355336,365684,45710.50,5540.60,180.90,104.40,58,11.20,16,11,8.10,5.40,3.30
585,12727500,0,27821.10,3091.20,152.80,91,40.20,10.90,11,10.20,5.40,5.60,3.20
584,27335676,218569.70,45535.30,1626.20,114.90,72.30,29.80,8.80,9.80,8.80,5.20,4.90,2.90
583,18557707,96672.70,22556.90,2891.90,74.20,37.10,47.30,7.30,16.30,5.60,9.40,5,2.20
582,12874500,0,34673.20,3333.90,213.60,108.40,50.90,13,13.20,11.20,6,6.10,3.20
581,12879000,80929.80,4316.20,1185.70,66.90,26,28.80,7.90,10.40,6,5.70,5,2.40
580,22422511,81919,25485.90,1481.70,83.90,44,24.40,6.80,9.50,6.40,5.40,4.60,2.60
579,12825000,245044.80,61261.20,2849.30,170.10,89,50.90,11.90,16.20,10.10,8.80,6.30,3.20
578,11268414,298639.10,36198.60,2804.10,155.90,86.50,32.70,9.60,9.90,9,5.20,5,2.90
577,12741000,361988,24132.50,2942.90,132.30,62.80,41.80,9.50,14.10,7.50,7.90,5.40,2.60
576,112017541,395566.50,73253,3296.30,171.10,90.30,41.50,11.10,12,9.80,5.80,5.70,3.10
575,96302211,0,41396.20,3557.40,148.30,71.10,51,11,16.70,8.40,8.80,6,2.70
574,85330000,336277.60,42034.70,3865.20,142,82.60,48,9.50,14.50,8.60,7.70,5.10,2.80
573,18770152,363234.10,0,2470.90,176.20,85,40.20,11.60,11.70,9.40,6.30,6.20,3.10
572,12997500,0,25880.80,2670.20,108.30,45.10,42.70,8.60,14.20,6.20,7.90,5.20,2.30
571,13135500,0,22522.30,1535.60,85.70,42.30,21.20,6.50,7.70,5.90,4.50,4.10,2.30
570,45058160,406734.70,81346.90,4150.30,160.60,70.10,53.40,10.50,17,7.60,9.30,5.70,2.50
569,34631815,105303.60,0,2275,136.70,71.40,33.10,9.30,10.30,8.30,5.40,5,2.80
568,28372232,371873.60,46484.20,3873.60,147.70,82.70,45.50,10,13.90,9.40,7.10,5.10,3
567,18874481,0,20107.70,1365.30,92.80,45.70,24,7,8.30,5.80,5,4.30,2.20
566,12981000,0,38198.70,5208.90,176.10,77.20,58.30,11.60,17.90,8.60,9.50,6,2.70
565,52357563,91600.90,19628.70,2694.10,97.10,56.50,42.30,7.50,13.60,7.30,7.50,4.60,2.60
564,44855571,242567.80,31098.40,2150.40,120.70,66.50,30.70,8.40,9.90,7.50,5.70,5,2.70
563,34628142,48881.10,17457.50,1373,76.10,43.30,25.60,6.60,9.40,6.20,5.60,4.20,2.40
562,27886637,0,33629.40,5966.50,168.90,56.70,53.60,12.30,17.20,6.40,9.30,7,2.20
561,19070109,240944.10,0,3886.10,166.20,96,46.20,11.10,14.40,10.60,7.40,5.70,3.30
560,13063500,262109.60,0,3235.90,165.80,76.60,43.90,11,13.90,8.30,7,6,2.80
559,6431250,66534.30,36963.50,1440.10,111.90,63.80,28.80,9.10,10.50,8.40,5.60,5.40,2.90
558,37772357,0,63866.40,3041.20,137,70,37.20,9.30,11.80,8.10,6.40,5.10,2.70
557,27777897,389124.20,51883.20,3930.50,179.20,101.10,56.80,12.60,16.10,10.80,8.40,6.40,3.20
556,21672986,282279.60,75274.50,4480.60,169.40,76.60,52,11.10,16.80,8.50,9.10,5.90,2.70
555,12441000,0,30199.90,3774.90,191.80,86.50,60.70,13.70,18.40,9.10,9.20,7.40,3
554,28307149,246070.40,51264.60,2595.60,143.40,78.80,32.30,9.90,10.30,9.10,5.50,5.50,3.10
553,18341712,269797.20,26979.70,3290.20,167.40,93.60,38.30,10.50,11.30,9.70,5.70,5.50,3.20
552,12216000,293022.70,26046.40,3756.70,132.20,58.10,57.70,10.10,18.10,7.20,10,5.90,2.50
551,10243449,606509,44926.50,4043.30,177.60,78.30,48.70,11.90,15.20,8.60,8.20,6.40,2.80
550,21875652,244247,37007.10,3392.30,161.90,90.60,30.40,9.60,8.90,9.30,4.80,4.90,3
549,12322500,243653,45120.90,4721.90,145.20,68,47.90,10,15.40,7.80,8.30,5.70,2.70
548,83087699,151413.40,27759.10,4550.60,156,78.70,51.40,10.70,16.40,8.60,8.80,5.70,2.70
547,70070413,254961.20,67989.60,3268.70,143.80,83.70,36.80,9.90,11,9.50,5.70,5.30,3.10
546,62293153,352695.90,29391.30,4053.90,173.10,81,59.50,11,18.50,8.70,9.80,5.90,2.80
545,51106703,0,101230.30,3531.20,147.10,68.80,44.10,9.90,13.60,7.90,7.10,5.60,2.80
544,44054164,331669.40,40202.30,2834.70,142.40,79.10,34.20,9.70,10.70,9.50,5.60,5.30,3.10
543,34505412,432869.60,48096.60,3069.90,130.20,68.20,37.60,9,12,8.10,6.70,5.10,2.70
542,27864810,158672.10,60446.50,3305.60,136.80,78.60,41.90,9.30,13.50,8.60,7.50,5,2.80
541,18165905,159589.70,29553.60,2509.20,124.70,59.80,43.40,9.80,13.70,8.30,7.20,5.50,2.90
540,12147000,106826.50,26113.10,1645.70,83,53.30,28.70,7.30,10.30,7.40,6.50,4.70,2.70
539,18330737,0,39290.30,916.70,165.90,93.50,56.50,12.60,17.30,10.30,8.90,6.50,3.30
538,12039000,160871,32999.10,2465.40,127.60,64.70,35.50,8.50,11.30,7.90,6.40,5,2.80
537,136124363,85914.80,24056.10,1728.10,105.50,59,29.80,8.60,10.60,7.50,6.20,5.10,2.60
536,122416477,240159.40,51462.70,2610.40,139.60,75.60,38.80,8.30,13.10,8,7.20,4.90,2.90
535,106443387,0,34286.40,3380.30,169.20,83.80,44.50,11.50,13.30,9.30,6.90,5.90,2.90
534,95574746,160569.50,39250.30,2858,111.50,64.60,37.10,8,12.70,7.70,7.30,4.70,2.70
533,82777654,196797.10,43732.70,3226.10,168.40,83.30,45.50,10,14.80,9.20,7.90,5.30,3
532,73585548,388055.50,47037,3804.40,127.60,62.80,43.50,8.60,14.50,7.10,7.90,5.20,2.60
531,62668378,243292.10,64877.90,3450.90,162.50,72.50,54.30,11.80,17.60,8.90,9.40,6.60,2.90
530,55297557,0,46099.90,5762.40,155.90,72.90,58.80,11.90,19,9.10,10,6.60,3
529,44407071,294686.80,24557.20,2584.90,206.60,101.70,46.10,13.30,13.30,11,6.30,6.80,3.40
528,37648529,216033.10,0,2512,176.80,77.20,36.50,10.70,10.50,8.90,5.40,5.60,2.80
527,27768213,80920.90,15866.80,2497.50,81.40,49.60,39,7.10,13.30,6.80,7.90,4.60,2.60
526,21701658,209766.20,32271.70,2231.50,102.80,60.80,35.30,7.20,13,7.60,7.70,4.40,2.70
525,12015000,0,36599.20,2725.40,114.10,73.40,47.20,9.40,15.30,9.40,7.90,5.20,3.10
524,79750000,116345,22518.30,3292.70,142.90,74.10,41,10.30,12.80,9,6.90,5.50,2.90
523,27120727,821669.30,22824.10,5267.10,174.10,84,52.70,11.50,16.20,8.80,8.50,6,2.80
522,21218945,248592,59188.50,4603.50,188.60,84.20,62.20,12.40,18.70,9.80,9.60,6.50,3.10
521,12058500,0,0,4476,192.90,114.10,46.20,11.80,12,11.40,5.80,5.50,3.20
520,21511885,137753.20,27550.60,1967.90,101.60,59.90,31.40,7.70,10.40,7.60,6,4.60,2.70
519,12016500,0,19192.20,2494.90,130.20,68.70,40.40,10,12.90,8.80,6.80,5.60,2.90
518,37827314.60,193217.70,75140.20,3046.20,156.70,83.70,35.70,10.80,11.40,9,6.20,5.80,2.90
517,27605924,215600.60,71866.80,4355.50,182.80,83.60,56.90,11.30,16.80,9.20,8.90,5.80,2.80
516,21380703,0,53860.40,4064.90,174.70,86.20,60.20,11.90,18.40,9.30,9.50,6.30,3
515,11914500,0,32139.80,3060.90,153.20,83.80,45.80,10.10,14.20,9.30,7.40,5.40,3.10
514,37709047,228738.50,41588.80,1243.10,98.30,58.50,18.30,7.50,6.90,7.30,4.20,4.70,2.80
513,27638401,445440.80,296960.50,4124.40,168.20,95,50.80,10.90,14.90,10.10,7.80,5.50,3.10
512,21173767,143967.70,71983.80,2273.10,152.30,77.60,31.20,10.10,9.70,8.80,5.40,5.50,2.90
511,11805000,0,41422.80,4999.30,211.70,101.40,45,14.10,20.50,10.60,10.30,7.20,3.20
510,148656000,1994322.90,50580.60,5100.50,181.50,81.50,59.40,11.90,18.30,9.10,9.80,6.30,2.90
509,151012000,1736317.20,40652.60,4639.70,168.70,86.30,56,11.70,16.90,10.30,8.60,6.10,3.30
508,142677285,501783.40,76027.70,4099.50,195.70,99.50,53.60,12.60,15.90,10.60,7.80,6.50,3.40
507,123419567,281708.10,46951.30,4401.60,189.90,99.10,54.90,12,16.40,10.70,8.40,6.10,3.30
506,110973507,200339.90,42739.10,3788.90,171.80,76.50,50.60,11.20,15.50,8.60,8.40,6,2.80
505,87418315,0,43831,3181.20,170.80,68.10,51.70,12.10,16.90,8,8.90,6.70,2.70
504,79035843,241674.70,80558.20,4778.80,161,70.60,60.50,11.20,18.40,8.40,10.40,6.20,2.80
503,67543388,0,33784,6032.80,219.60,89.60,64.70,13,19.90,9.40,10.10,6.70,2.90
502,60323858,167444.20,42934.40,3000.70,162.90,82.40,40.30,11.60,12.10,9.80,6.30,6.10,3.10
501,48445181,299764.80,29976.40,3655.60,148.80,78.50,46.80,10.50,14.70,9,8.10,5.70,2.90
500,42076911,332649.70,0,4620.10,205.90,103.10,60.10,14.10,17.70,11.70,8.50,6.90,3.50
499,32812559,202941.70,24598.90,2652.80,110.90,54,35.30,8.70,11.50,7.40,6.40,5,2.70
498,26900432,242313.30,21255.50,3481.50,138.10,47.10,51.20,10.80,17.20,6.40,9.60,6.40,2.40
497,17516871,0,40943.90,3838.40,144.20,58.60,59.40,10.40,19,6.90,10.30,6,2.50
496,12117000,0,0,3472.90,172.30,94.50,31.40,11.60,8.40,10.50,4.10,5.60,3.10
495,12109500,0,26564,3415.30,126,60.70,47.60,9.80,15.50,8.30,8.50,5.40,2.70
494,10814550,209152.20,24606.10,1596.50,132.60,71.50,24.70,9.60,7.80,8.60,4.10,5.30,2.90
493,12043500,0,37008.70,4178.40,152.10,64.20,66.90,11.30,20.30,8,10.70,6.30,2.70
492,63837543.60,102891.70,21661.40,3215.30,132.40,58.50,52.20,10.30,16.60,7.70,9,6,2.60
491,109315762,266505.80,76144.50,3416.70,147.10,81.40,48.80,10.50,16,9.50,8.40,5.90,3.20
490,97123444,340774,48682,4868.20,159.60,69.90,60,11.30,19.70,8.20,10.40,6.20,2.70
489,80806756,119832.10,14265.70,3840.70,98.50,47.20,50.90,8.50,16.80,6.50,9.30,5.20,2.50
488,71823678,177060.40,48289.20,2141.80,139.60,69.40,33.60,10.70,11,9,5.60,5.80,3.10
487,60290704,329253.10,32925.30,4988.60,188.20,106.70,54.20,12.60,16,11.40,7.70,6.40,3.40
486,53068969,377206,50294.10,3644.50,167.80,81.60,55.20,11.70,17.90,9.40,9.90,6.40,3
485,41232245,207268,19739.80,1946.10,106.20,65.50,26.60,8,9.30,8.10,5.50,4.70,2.80
484,35495169,177782.60,46091.70,4148.20,177.20,73.70,59.80,11.60,18.70,8.20,10.20,6.20,2.70
483,26250991,116460.30,0,1265.80,132.50,78.80,29.10,9.70,9.20,9.60,4.90,5.40,3.20
482,21084008,237040.50,98766.90,4703.10,200.90,100,57.70,12.60,17.80,10.70,8.60,6.50,3.30
481,12258000,303742.10,22499.40,3615.90,166.20,67.20,63.60,11.10,19.30,7.50,10.40,6,2.50
480,36231900,311562.90,103854.30,2806.80,197.90,88.20,46,12.30,14.70,9.60,7.40,6.40,3.10
479,26895374,239396.50,0,4127.50,172.50,87.70,35.80,10.60,9.50,10.10,4.80,5.30,3.10
478,21345735,0,32222,5523.70,213,71.60,71.30,15.50,20.70,8.10,10.60,8.30,2.50
477,12369000,0,0,4337.90,175.70,81.50,60.40,12.50,19.60,9,10.50,6.60,2.70
476,44408417,99842.70,19200.50,1770.20,103.30,64.50,27.60,8.40,8.90,8.60,4.90,4.80,3
475,32603075,120249.90,48099.90,2614.10,194.10,101.20,37,10.60,10.40,10.30,5.30,5.30,3.10
474,27033455,166205.40,29831.70,3878.10,129.50,71.40,47.60,9.60,15.30,9.10,8.20,5.20,3.10
473,18087550,239738.70,18441.40,3632.40,137.60,49.70,64.20,10.20,20.70,6.80,11.20,6.10,2.50
472,12522000,227458.80,42122,3645.10,185.10,68.40,63.50,12.30,20.10,8.40,10.60,6.70,2.80
471,12555000,0,106661.60,4444.20,161.70,90.10,49.80,10.30,15,10.20,7.70,5.20,3.10
470,21827112,162108.50,34386.60,4398.20,137.90,57.10,52.50,10.30,17.30,7.10,9.40,5.80,2.40
469,12508500,0,26857.60,3069.40,139.80,82,45.10,9.50,14.10,8.90,7.50,5.20,2.90
468,38034639.70,205015.40,45558.90,2135.50,109.50,56.80,26.10,7.30,8.70,6.50,5.20,4.40,2.50
467,28201173,0,49870.40,6926.40,170.10,91.60,54.60,11.10,16.30,9.90,8.10,5.70,3
466,22200501,402933.60,100733.40,4477,184.50,101.80,48.10,11.90,14.30,10.70,7,6.20,3.30
465,12525000,713667.30,39648.10,4101.50,177.60,84.70,40.70,11,12.30,8.60,6.10,6.10,3
464,22198232.50,0,56871.40,2095.20,112.60,64,28.40,8.40,9.30,7.80,5.20,4.90,2.70
463,12720000,136737.10,45579,3255.60,124,70.70,47.60,9.10,14.50,8.70,7.80,4.90,2.90
462,46432285.20,166822.60,27803.70,3835,124.20,44.90,55.50,9.50,18.20,6,9.90,5.50,2.20
461,35142486,0,18442.50,3310.20,122.60,52.20,47.10,8.80,15.40,6.90,8.70,5.10,2.40
460,28527269,156348.50,27795.30,5345.20,177.40,48.80,63.10,13.70,19.60,6.70,10.50,7.80,2.40
459,18731949,260001.30,32500.10,3823.50,170.20,80.90,60.90,12.30,18.60,9.30,9.90,6.70,3
458,12565500,1230792.40,82052.80,5259.70,177.10,76,62.20,11.60,19.50,8.70,10.30,6.20,2.80
457,45160170.50,0,24842.10,1552.60,97.40,51.80,31.30,7.70,10.80,6.50,6.20,4.70,2.40
456,38388399,129712.50,43237.50,5842.90,157.10,59.40,61.50,11.30,20,7.10,10.70,6.40,2.40
455,28074424,252525,42087.50,3006.20,182.60,90.70,47.40,11.70,15,10.10,7.20,6.20,3.20
454,22380458,304497.90,25374.80,2636.30,147.40,72.50,34,9.70,10.20,8.30,5.50,5.20,2.70
453,12523500,0,308363.90,7227.20,198,74.50,66.60,12.20,20.10,8.10,10.50,6.60,2.70
452,40627241,435634.50,36302.80,2757.10,103.80,53.30,33.70,8.10,11.40,7,6.50,4.90,2.60
451,30343120,0,27829.10,2608.90,128.70,73.40,37.30,8.50,11.90,8.20,6.70,4.70,2.80
450,24189679,150315.40,50105.10,2277.50,114.20,56.40,32.80,7.70,11.20,6.60,6.70,4.70,2.50
449,12394500,0,48064,2503.30,108.60,64,32.90,7.40,10.90,7.10,6.10,4.90,2.70
448,30177623,153060.70,17660.80,1077.80,77.20,41.60,23.90,6.80,9.30,6.40,5.40,4.60,2.60
447,50010872,0,0,4143.20,161.20,90.20,52.30,10.50,16.40,9.40,8.50,5.90,3
446,43303615,730948.40,81216.40,3583,197.20,108.20,55.50,12.30,17,11.40,8.40,6.20,3.50
445,31879970,0,49945.20,1950.90,159.40,90.50,25.20,9.70,7.30,9.30,3.90,5,2.90
444,25852188,413085.10,27539,4236.70,149.90,55.70,47.60,10,15.80,6.10,8.60,5.90,2.20
443,12549000,0,32848.70,2346.30,108.70,67.50,31.60,7.90,10.70,7.70,6.30,4.60,2.60
442,39175449,98038.80,22359.70,649.50,86.60,55.50,14.70,6.80,7.50,7.60,5.20,4.30,2.80
441,28908882,0,31247.50,4463.90,144,51.30,51.20,10.70,15.80,6.40,8.80,5.90,2.20
440,22918879,204997.30,34166.20,3306.40,144.70,68,49,10,15,8.20,7.90,5.50,2.80
439,12904500,171772.60,57257.50,2726.50,159.50,79.90,34.60,9.80,10.90,8.90,5.50,5.20,2.90
438,23341756,629166.10,46604.90,3554.60,134,68.70,54.10,9.50,15.90,8.70,8.40,5.20,2.90
437,12825000,720277.80,60023.10,3334.60,154.40,81.60,40.50,10.50,11.90,9.70,5.90,5.70,3.20
436,30126040,120540.60,49109.10,1872.80,124.50,71.40,23.10,8.20,7.60,8.20,4.50,4.60,2.70
435,18941023,0,0,2430.60,144,76.10,37,9.70,11.50,8.70,6.10,5.30,2.80
434,12850500,163623.40,34708,1491.30,88.50,57.90,26.80,7.70,10.50,7.90,6.20,4.90,2.80
433,12817500,0,244473.50,3704.10,172.50,75.60,64.20,12.10,20,9.10,10.60,6.30,2.90
432,58162735,176177.30,31320.40,1381.70,111.60,63.20,23.50,9,7.60,8.20,4,5,2.80
431,46793457,0,33276.40,2182,115,67.30,32.70,8.50,10.50,8.30,6,4.80,2.80
430,39862087,0,51244.90,2530.60,169.50,77.20,39.30,10.20,12.20,8.60,6,5.40,2.90
429,28991611,726102.60,0,4840.60,207.20,95.30,63.20,13.60,18.50,9.20,9.30,7.30,2.80
428,23734845,0,63977.70,3046.50,150.20,81,38.80,9.90,10.70,8.60,5.40,5.30,2.70
427,13059000,363386.60,80752.50,4845.10,148.40,60.30,55.90,9.70,19,6.80,10.70,5.80,2.40
426,20841013.80,220229.60,62922.70,2474.40,164.80,85.40,35.50,10.60,10.40,9.90,5.10,5.60,3.20
425,30927684,407335.20,0,3573.10,217.10,89.40,61.40,13.20,18.70,9.70,9.80,6.90,3
424,24130874,93333.50,33703.80,1685.10,96.80,64.40,23.50,7.70,7.70,8,4.20,4.50,2.80
423,13152000,153731.80,42703.30,4417.50,132.50,57.40,61.70,10.60,19.70,7.40,10.50,5.90,2.50
422,101203600.70,116013,25220.20,993.20,81.80,48.50,25.90,8.50,9.40,8.20,5.10,5.20,3
421,86290000,226366.80,28295.80,2902.10,147.30,63.50,48.60,10.30,15.90,7.90,8.50,5.70,2.60
420,13912755,220986.10,18415.50,2232.10,120.10,52.80,37.70,9.30,12.40,7.40,6.60,5.50,2.60
419,30913743,855670.10,95074.40,2376.80,163.10,92.60,29.50,9.70,9.10,10,4.80,5.10,3.20
418,23961854,0,49531.30,2330.80,132.50,74.10,31.90,9.70,9.70,8.80,5,5.20,2.80
417,13039500,0,30635.10,2988.70,131,62.90,51.80,9.50,16.90,7.40,9.10,5.40,2.50
416,13108500,0,40908.90,3787.80,145.30,59.20,51.30,10.20,17.10,7.40,9.20,5.60,2.50
415,140822522,246962.20,98784.90,2838.60,147,77.50,53.80,9.90,17.20,8.20,9.40,5.50,2.60
